timestamp,temperature_celsius,precipitation_mm,wind_speed_km_h
20200318T0000,11.6432085,0,14.338656
20200318T0100,11.103209,0,13.583788
20200318T0200,10.833208,0,13.191508
20200318T0300,10.313209,0,13.207638
20200318T0400,9.713208,0,12.859147
20200318T0500,9.333208,0,12.999119
20200318T0600,8.633208,0,12.622413
20200318T0700,7.8332086,0,11.4923115
20200318T0800,7.323209,0,10.932142
20200318T0900,7.4232087,0,10.951599
20200318T1000,9.113209,0,11.305533
20200318T1100,11.433208,0,9.780908
20200318T1200,14.383208,0,9.293504
20200318T1300,16.523209,0,9.8568
20200318T1400,17.773209,0,6.179102
20200318T1500,19.24321,0,5.842608
20200318T1600,20.38321,0,6.074855
20200318T1700,20.853209,0,6.2419515
20200318T1800,20.96321,0,6.415762
20200318T1900,20.623209,0,6.595754
20200318T2000,19.82321,0,7.7576847
20200318T2100,17.64321,0,10.951599
20200318T2200,16.263208,0,11.217306
20200318T2300,14.363209,0,8.726379
20200319T0000,13.083208,0,5.394189
20200319T0100,12.263208,0,5.2744513
20200319T0200,11.803208,0,3.2518265
20200319T0300,11.223208,0,2.260479
20200319T0400,10.503208,0,1.9394212
20200319T0500,10.043208,0,0.79920006
20200319T0600,9.753208,0,0.753493
20200319T0700,9.723208,0,2.664
20200319T0800,9.683208,0,2.8815567
20200319T0900,9.503208,0,3.013972
20200319T1000,10.173208,0,2.6237357
20200319T1100,11.753208,0,4.5288
20200319T1200,13.533208,0,6.1503215
20200319T1300,15.353209,0,7.5207877
20200319T1400,16.66321,0,7.766828
20200319T1500,17.73321,0,8.499788
20200319T1600,18.56321,0,9.0732565
20200319T1700,18.97321,0,9.448753
20200319T1800,19.05321,0,10.17913
20200319T1900,18.59321,0,10.870295
20200319T2000,17.533209,0,11.676103
20200319T2100,15.743208,0,12.173051
20200319T2200,14.193209,0,12.867423
20200319T2300,12.793208,0,12.709262
20200320T0000,11.6432085,0,11.830079
20200320T0100,10.663208,0,9.9997635
20200320T0200,9.8932085,0,7.90719
20200320T0300,9.183208,0,7.8892193
20200320T0400,8.533208,0,7.992
20200320T0500,8.003208,0,8.365129
20200320T0600,7.493209,0,9.045838
20200320T0700,6.9832087,0,9.112282
20200320T0800,6.473209,0,8.931355
20200320T0900,6.5432086,0,9.112282
20200320T1000,7.513209,0,9.324
20200320T1100,8.833208,0,8.599398
20200320T1200,10.793208,0,7.6285343
20200320T1300,12.793208,0,7.544342
20200320T1400,15.003208,0,8.424308
20200320T1500,16.23321,0,7.688767
20200320T1600,17.32321,0,8.673356
20200320T1700,17.75321,0,8.855546
20200320T1800,17.623209,0,8.466324
20200320T1900,17.34321,0,9.045838
20200320T2000,16.80321,0,10.636002
20200320T2100,15.673208,0,12.161386
20200320T2200,14.753208,0,13.447264
20200320T2300,13.633208,0,16.101229
20200321T0000,12.363209,0,14.882679
20200321T0100,11.463208,0,13.031836
20200321T0200,10.693209,0,11.529304
20200321T0300,9.803208,0,11.940546
20200321T0400,8.803208,0,11.988
20200321T0500,7.983209,0,8.855546
20200321T0600,7.813209,0,10.248613
20200321T0700,7.573209,0,11.267806
20200321T0800,7.333209,0,11.483046
20200321T0900,7.493209,0,11.458298
20200321T1000,8.553208,0,11.389962
20200321T1100,9.773209,0,10.444103
20200321T1200,10.333208,0,8.955162
20200321T1300,10.703208,0,8.262695
20200321T1400,10.003208,0.2,5.842608
20200321T1500,9.983209,0.7,10.010403
20200321T1600,8.973208,0.5,10.9742565
20200321T1700,9.313209,0.5,8.172013
20200321T1800,10.133208,0.1,9.780908
20200321T1900,9.503208,0,10.3656645
20200321T2000,8.783208,0,8.424308
20200321T2100,8.093208,0.2,4.3038235
20200321T2200,7.9932084,0,1.1302395
20200321T2300,7.813209,0,0.5956885
20200322T0000,7.933209,0,3.8788424
20200322T0100,7.4232087,0,6.992683
20200322T0200,6.9232087,0,7.6285353
20200322T0300,6.4432087,0.2,7.108438
20200322T0400,6.093209,0.4,5.2339296
20200322T0500,6.053209,0.1,4.897704
20200322T0600,6.113209,0.1,5.3876066
20200322T0700,6.0432086,0,5.7507854
20200322T0800,5.863209,0,4.912173
20200322T0900,5.893209,0,4.598777
20200322T1000,6.493209,0,3.2951863
20200322T1100,7.2132087,0,3.3697233
20200322T1200,8.253208,0,2.1967907
20200322T1300,9.553208,0,3.1067312
20200322T1400,12.483209,0,12.999119
20200322T1500,12.933208,0,11.358766
20200322T1600,14.033208,0,11.566178
20200322T1700,14.113209,0,9.62733
20200322T1800,14.073209,0,9.112282
20200322T1900,13.903209,0,9.697106
20200322T2000,13.483209,0,8.08909
20200322T2100,12.623208,0,5.7384315
20200322T2200,11.833208,0,7.619226
20200322T2300,10.593208,0,9.0732565
20200323T0000,9.593208,0,9.460013
20200323T0100,8.193209,0,6.744709
20200323T0200,8.573209,0,3.7105224
20200323T0300,8.333208,0,2.8815567
20200323T0400,8.383208,0,4.3692846
20200323T0500,8.133208,0.1,7.3150935
20200323T0600,8.223208,0.1,7.8712068
20200323T0700,8.333208,0.1,7.387499
20200323T0800,8.333208,0.1,8.64467
20200323T0900,8.373208,0,9.653095
20200323T1000,9.673208,0,10.123199
20200323T1100,11.173208,0,11.697356
20200323T1200,11.233209,0,11.229953
20200323T1300,12.663208,0,10.971024
20200323T1400,11.833208,0,8.677445
20200323T1500,13.363209,0,11.242584
20200323T1600,14.293208,0,12.723215
20200323T1700,14.163208,0,12.7927475
20200323T1800,14.413208,0,13.646338
20200323T1900,13.673208,0,12.245709
20200323T2000,12.913208,0,10.498323
20200323T2100,12.183208,0,5.117377
20200323T2200,11.793208,0,5.0545845
20200323T2300,11.6432085,0,8.823432
20200324T0000,11.063209,0,9.755479
20200324T0100,10.723208,0,7.501892
20200324T0200,10.383208,0,6.791894
20200324T0300,10.103209,0,7.780522
20200324T0400,9.803208,0,9.460013
20200324T0500,9.383208,0,12.756638
20200324T0600,8.663208,0,14.574296
20200324T0700,7.663209,0,14.813373
20200324T0800,7.183209,0,15.561044
20200324T0900,7.6932087,0,15.079276
20200324T1000,8.523209,0,13.651538
20200324T1100,9.023209,0,10.293525
20200324T1200,10.533208,0,9.061517
20200324T1300,9.573209,0,3.3697233
20200324T1400,11.533208,0.3,10.788378
20200324T1500,12.223208,0.2,8.819409
20200324T1600,13.063209,0,7.8892193
20200324T1700,13.323209,0,7.996438
20200324T1800,13.763208,0,7.2125063
20200324T1900,13.933208,0,6.443357
20200324T2000,13.653209,0,5.3545737
20200324T2100,13.123208,0,2.9784424
20200324T2200,12.633208,0,2.6372256
20200324T2300,12.303208,0,4.6600966
20200325T0000,10.803208,0,8.365129
20200325T0100,9.683208,0,6.9723544
20200325T0200,9.183208,0,8.795236
20200325T0300,8.173208,0,10.126704
20200325T0400,7.613209,0,9.682458
20200325T0500,7.1332088,0,8.343893
20200325T0600,6.803209,0,7.766828
20200325T0700,6.5432086,0,6.1963058
20200325T0800,6.283209,0,4.890454
20200325T0900,6.313209,0,5.3611965
20200325T1000,6.9832087,0,5.848678
20200325T1100,8.203208,0,7.329631
20200325T1200,9.783208,0,7.8666973
20200325T1300,10.583208,0,6.6172385
20200325T1400,14.023209,0,9.354396
20200325T1500,15.003208,0,10.511835
20200325T1600,15.703208,0,11.239428
20200325T1700,16.183208,0,11.188799
20200325T1800,16.98321,0,10.538806
20200325T1900,17.023209,0,13.583788
20200325T2000,16.32321,0,9.0576
20200325T2100,14.853209,0,5.2542295
20200325T2200,12.883208,0,5.8608
20200325T2300,11.453208,0,3.6234317
20200326T0000,11.073209,0,6.2134624
20200326T0100,9.623208,0,7.2468634
20200326T0200,8.713208,0,8.102239
20200326T0300,7.313209,0,7.8666973
20200326T0400,5.183209,0,7.329631
20200326T0500,3.2532089,0,6.0748544
20200326T0600,2.2732089,0,5.600739
20200326T0700,1.7832088,0,6.9926825
20200326T0800,0.75320876,0,9.0732565
20200326T0900,2.1232088,0,9.653095
20200326T1000,4.533209,0,10.9839525
20200326T1100,6.703209,0,8.607647
20200326T1200,8.763208,0,6.0865254
20200326T1300,10.683208,0,4.9553266
20200326T1400,13.1432085,0,5.3876066
20200326T1500,14.463208,0,4.802594
20200326T1600,15.163208,0,10.389601
20200326T1700,15.213208,0,15.460384
20200326T1800,14.583208,0,16.886482
20200326T1900,13.583208,0,17.118145
20200326T2000,11.963208,0,17.285234
20200326T2100,10.153209,0,15.130956
20200326T2200,8.873208,0,13.439344
20200326T2300,7.7332087,0,13.031836
20200327T0000,6.313209,0,13.250555
20200327T0100,5.1932087,0,13.669722
20200327T0200,4.323209,0,15.081628
20200327T0300,4.1732087,0,11.775965
20200327T0400,4.373209,0,12.483903
20200327T0500,4.343209,0,14.038547
20200327T0600,4.623209,0,13.713779
20200327T0700,4.373209,0,12.152629
20200327T0800,4.223209,0,12.523634
20200327T0900,4.473209,0,14.066324
20200327T1000,5.453209,0,12.300643
20200327T1100,6.763209,0,10.403253
20200327T1200,7.473209,0,10.403253
20200327T1300,7.553209,0,14.813373
20200327T1400,7.5432086,0,13.37848
20200327T1500,9.243208,0,10.444103
20200327T1600,10.713208,0,9.236053
20200327T1700,10.783208,0,9.974892
20200327T1800,10.903209,0,10.444103
20200327T1900,11.063209,0,9.486234
20200327T2000,10.573209,0,9.653095
20200327T2100,8.773209,0,11.380612
20200327T2200,7.5032086,0,10.86703
20200327T2300,6.1332088,0,8.986805
20200328T0000,5.473209,0,5.2474713
20200328T0100,4.9632087,0,4.212154
20200328T0200,4.563209,0,4.5366287
20200328T0300,4.823209,0,1.0656
20200328T0400,5.393209,0,2.028842
20200328T0500,5.973209,0,2.9784427
20200328T0600,6.453209,0,3.7862556
20200328T0700,5.163209,0,5.6637416
20200328T0800,4.083209,0,6.415762
20200328T0900,4.473209,0,6.7814364
20200328T1000,6.393209,0,7.2468634
20200328T1100,8.523209,0,7.421045
20200328T1200,10.413208,0,5.8668513
20200328T1300,12.033208,0,4.075136
20200328T1400,13.403209,0,2.1477854
20200328T1500,14.323209,0,3.1067312
20200328T1600,14.973208,0,1.7870656
20200328T1700,15.383208,0,0.84243083
20200328T1800,15.543208,0,0.753493
20200328T1900,15.373208,0,1.5984001
20200328T2000,14.803208,0,2.9304
20200328T2100,13.873208,0,3.7296
20200328T2200,13.103209,0,4.3935814
20200328T2300,11.603209,0,5.0264254
20200329T0000,10.333208,0,4.336678
20200329T0100,9.623208,0,3.2518265
20200329T0200,9.033208,0,2.3976
20200329T0300,9.083208,0,2.6237357
20200329T0400,9.223208,0,2.6237357
20200329T0500,8.8932085,0,3.013972
20200329T0600,8.233209,0,2.8318708
20200329T0700,7.313209,0,2.4560866
20200329T0800,6.573209,0,2.4560866
20200329T0900,6.623209,0,2.664
20200329T1000,8.583208,0,1.8837326
20200329T1100,10.793208,0,1.191377
20200329T1200,12.8932085,0,2.8318708
20200329T1300,14.923208,0,3.9333487
20200329T1400,16.40321,0,4.295571
20200329T1500,17.30321,0,4.5600333
20200329T1600,17.92321,0,5.089565
20200329T1700,18.203209,0,6.179102
20200329T1800,18.24321,0,7.6285353
20200329T1900,17.773209,0,7.670285
20200329T2000,17.013208,0,7.033162
20200329T2100,15.973208,0,3.9603205
20200329T2200,15.453208,0,4.5288
20200329T2300,13.613209,0,14.296525
20200330T0000,11.243208,0,15.168433
20200330T0100,9.763208,0,15.861428
20200330T0200,8.873208,0,17.870655
20200330T0300,8.283208,0,13.481524
20200330T0400,7.903209,0,14.338656
20200330T0500,7.513209,0,14.671362
20200330T0600,7.163209,0,15.968452
20200330T0700,6.9232087,0,15.899415
20200330T0800,6.5432086,0,15.59066
20200330T0900,6.723209,0,19.006104
20200330T1000,6.283209,0,21.431543
20200330T1100,5.433209,0,21.611263
20200330T1200,5.0232086,0,20.218338
20200330T1300,6.723209,0,18.609903
20200330T1400,7.323209,0,18.04651
20200330T1500,8.213208,0,15.672383
20200330T1600,8.223208,0,13.386435
20200330T1700,9.223208,0,14.6519985
20200330T1800,10.113209,0,17.143002
20200330T1900,9.213208,0,20.751858
20200330T2000,8.123208,0,19.987104
20200330T2100,7.163209,0,19.065754
20200330T2200,4.853209,0.2,19.837412
20200330T2300,3.3232088,1.4,18.778837
20200331T0000,2.0732088,2,17.316
20200331T0100,1.5932088,1.5,19.828466
20200331T0200,1.8132088,1.1,28.022697
20200331T0300,1.7732089,0.8,20.75186
20200331T0400,1.2732089,1.1,25.139183
20200331T0500,1.6432087,0.6,24.902344
20200331T0600,1.8432088,0.2,25.862762
20200331T0700,1.9032087,0.8,24.539185
20200331T0800,2.473209,1.3,20.652445
20200331T0900,3.7532089,1.6,14.388066
20200331T1000,5.433209,1.9,17.590471
20200331T1100,5.7132087,1.1,16.561855
20200331T1200,6.7332087,1.2,16.357046
20200331T1300,8.453208,0.9,15.013241
20200331T1400,10.383208,0,18.146513
20200331T1500,10.743208,0.1,8.819409
20200331T1600,11.273209,0,13.824594
20200331T1700,10.843208,0,13.752537
20200331T1800,11.713208,0,13.386435
20200331T1900,12.263208,0,12.14971
20200331T2000,11.3932085,0.5,12.523633
20200331T2100,8.513208,4.9,15.7176
20200331T2200,8.343208,0.6,10.656
20200331T2300,8.573209,0,9.824347
20200401T0000,8.613209,0.4,5.9865956
20200401T0100,8.743208,1.9,6.579594
20200401T0200,9.013208,0.9,4.4337797
20200401T0300,8.903209,0.4,7.7987437
20200401T0400,8.723208,1,7.743951
20200401T0500,8.313209,0.3,7.53493
20200401T0600,7.723209,0.3,5.842608
20200401T0700,7.223209,0,4.861344
20200401T0800,6.4432087,0,3.996
20200401T0900,6.6732087,0,4.72062
20200401T1000,7.4032087,0,4.3038235
20200401T1100,9.123208,0,3.3697233
20200401T1200,10.703208,0,5.8668513
20200401T1300,10.813209,0,6.823169
20200401T1400,12.223208,0,6.448861
20200401T1500,11.793208,0,6.791894
20200401T1600,12.813209,0,6.6172385
20200401T1700,12.473208,0,6.4378467
20200401T1800,12.993208,0,5.1725526
20200401T1900,12.813209,0,5.1725526
20200401T2000,12.263208,0,5.6449146
20200401T2100,11.6432085,0,6.0748544
20200401T2200,10.603209,0,6.6653256
20200401T2300,9.493208,0,8.00974
